sequence,offset,event,event_name,phase,phase_name,pid,tid,qpc,data_len,aux0,aux1
1005,583336,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137022172,640,272,192
1006,584028,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137023624,640,272,192
1007,584720,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137023655,640,288,192
1008,585412,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137025102,640,288,192
1009,586104,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137025138,640,304,192
1010,586796,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137026713,640,304,192
1011,587488,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137026746,640,320,192
1012,588180,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137028196,640,320,192
1013,588872,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137028227,640,336,192
1014,589564,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137029701,640,336,192
1015,590256,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137029739,640,352,192
1016,590948,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137031189,640,352,192
1017,591640,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137031221,640,368,192
1018,592332,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137032719,640,368,192
1019,593024,45,CGR_FAST_POOL_POST,3,SALT_RNG,1960,1964,137032753,640,376,192
1020,593716,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137032784,640,376,192
1021,594408,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137034237,640,376,192
1022,595100,34,RANDGET_OUT,3,SALT_RNG,1960,1964,137034272,64,176,256
1023,595216,35,RANDGET_POOL_POST,3,SALT_RNG,1960,1964,137034303,640,176,256
1024,595908,54,SALT,3,SALT_RNG,1960,1964,137034333,64,64,0
1025,596024,55,PBKDF2_DK,4,KDF,1960,1964,137488319,192,2000,1
1026,596268,56,HEADER_PLAIN,4,KDF,1960,1964,137489899,512,0,0
1027,596832,57,HEADER_KEY_PRIMARY,5,HEADER_ENC,1960,1964,137489934,32,0,32
1028,596916,58,HEADER_KEY_SECONDARY,5,HEADER_ENC,1960,1964,137489966,32,0,32
1029,597000,59,HEADER_CIPHER,5,HEADER_ENC,1960,1964,137495002,512,0,0
1030,597564,61,WRITE_PRIMARY_HEADER,6,FORMAT,1960,1964,137498881,512,0,0
1031,598128,62,WRITE_PRIMARY_ZERO,6,FORMAT,1960,1964,137499105,130560,512,0
1032,728740,63,WRITE_DATA,6,FORMAT,1960,1964,137670624,65536,131072,0
1033,794328,63,WRITE_DATA,6,FORMAT,1960,1964,137673521,65536,196608,0
1034,859916,63,WRITE_DATA,6,FORMAT,1960,1964,137674028,14336,262144,0
1035,874304,64,FORMAT_BACKUP_BEGIN,6,FORMAT,1960,1964,137674132,0,16646144,0
1036,874356,50,PASSWORD,1,HEADER,1960,1964,137674198,28,0,0
1037,874436,65,MASTER_KEYDATA_REUSED,1,HEADER,1960,1964,137674238,256,64,32
1038,874744,51,HEADER_PARAMS,1,HEADER,1960,1964,137674270,64,0,0
1039,874860,30,RANDGET_BEGIN,3,SALT_RNG,1960,1964,137674301,0,64,1
1040,874912,31,RANDGET_POOL_PRE,3,SALT_RNG,1960,1964,137674331,640,176,264
1041,875604,11,RANDADD_BUF,3,SALT_RNG,1960,1964,137674829,232,176,264
1042,875888,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137674868,640,176,264
1043,876580,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137676478,640,176,264
1044,877272,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137676514,640,192,264
1045,877964,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137678810,640,192,264
1046,878656,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137678904,640,208,264
1047,879348,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137680437,640,208,264
1048,880040,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137680471,640,224,264
1049,880732,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137681931,640,224,264
1050,881424,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137681962,640,240,264
1051,882116,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137683410,640,240,264
1052,882808,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137683441,640,256,264
1053,883500,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137684914,640,256,264
1054,884192,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137684946,640,272,264
1055,884884,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137686397,640,272,264
1056,885576,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137686428,640,288,264
1057,886268,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137688033,640,288,264
1058,886960,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137688068,640,304,264
1059,887652,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137689515,640,304,264
1060,888344,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137689546,640,320,264
1061,889036,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137691000,640,320,264
1062,889728,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137691031,640,336,264
1063,890420,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137692504,640,336,264
1064,891112,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137692537,640,352,264
1065,891804,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137693980,640,352,264
1066,892496,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137694012,640,368,264
1067,893188,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137695517,640,368,264
1068,893880,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137695550,640,384,264
1069,894572,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137697000,640,384,264
1070,895264,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137697031,640,400,264
1071,895956,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137698503,640,400,264
1072,896648,11,RANDADD_BUF,3,SALT_RNG,1960,1964,137698780,88,408,264
1073,896788,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137698813,640,416,264
1074,897480,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137700269,640,416,264
1075,898172,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137700301,640,432,264
1076,898864,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137701749,640,432,264
1077,899556,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137701780,640,448,264
1078,900248,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137703524,640,448,264
1079,900940,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137703596,640,464,264
1080,901632,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137705772,640,464,264
1081,902324,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137705818,640,480,264
1082,903016,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137707867,640,480,264
1083,903708,11,RANDADD_BUF,3,SALT_RNG,1960,1964,137708195,88,496,264
1084,903848,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137708237,640,496,264
1085,904540,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137710551,640,496,264
1086,905232,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137710609,640,512,264
1087,905924,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137712952,640,512,264
1088,906616,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137713002,640,528,264
1089,907308,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137714855,640,528,264
1090,908000,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137714893,640,544,264
1091,908692,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137716464,640,544,264
1092,909384,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137716509,640,560,264
1093,910076,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137718003,640,560,264
1094,910768,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137718036,640,576,264
1095,911460,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137720044,640,576,264
1096,912152,40,CGR_SLOW_OUT,3,SALT_RNG,1960,1964,137720230,640,584,264
1097,912844,41,CGR_SLOW_POOL_PRE,3,SALT_RNG,1960,1964,137720265,640,584,264
1098,913536,11,RANDADD_BUF,3,SALT_RNG,1960,1964,137720303,640,584,264
1099,914228,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137720335,640,592,264
1100,914920,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137721985,640,592,264
1101,915612,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137722022,640,608,264
1102,916304,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137723788,640,608,264
1103,916996,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137723826,640,624,264
1104,917688,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137725317,640,624,264
1105,918380,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137725350,640,0,264
1106,919072,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137726796,640,0,264
1107,919764,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137726827,640,16,264
1108,920456,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137728473,640,16,264
1109,921148,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137728508,640,32,264
1110,921840,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137730035,640,32,264
1111,922532,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137730067,640,48,264
1112,923224,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137731610,640,48,264
1113,923916,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137731644,640,64,264
1114,924608,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137733093,640,64,264
1115,925300,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137733125,640,80,264
1116,925992,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137736064,640,80,264
1117,926684,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137736202,640,96,264
1118,927376,21,RANDMIX_POST,3,SALT_RNG,1960,1964,137737994,640,96,264
1119,928068,20,RANDMIX_PRE,3,SALT_RNG,1960,1964,137738035,640,112,264
